 written on 15Jun2021 at 22:00:36 
   20.0000000000000       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000   20.0000000000000       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000   2.56598541000000     
           4
          41
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2

    0    0  -20
    1    1    0.32579344E-01  0.67084759E-06
    2    1   -0.47910688E-03  0.96678095E-05
    3    1    0.92263318E-01 -0.11953214E-03
    4    1   -0.32269339E-02 -0.15336447E-03
    1    2   -0.48204093E-03  0.34084362E-04
    2    2   -0.37062925E-02 -0.37238428E-06
    3    2   -0.57508772E-03 -0.13889136E-03
    4    2   -0.29036595E+00  0.20730724E-03
    1    3   -0.80811404E-01 -0.96383985E-04
    2    3    0.82384100E-03 -0.35770152E-05
    3    3    0.27708984E-01 -0.42832329E-06
    4    3   -0.24420216E-03  0.48447527E-04
    1    4   -0.65453344E-03  0.65103932E-04
    2    4   -0.58385474E-01 -0.44073311E-04
    3    4   -0.25237515E-03  0.71334939E-04
    4    4   -0.29434366E-01  0.14297532E-06

    0    0    4
    1    1    0.58573745E-01 -0.48563154E-06
    2    1   -0.80877849E-03 -0.40216191E-04
    3    1   -0.80811050E-01  0.95859266E-04
    4    1   -0.64782909E-03  0.27263843E-04
    1    2   -0.80596421E-03 -0.95323684E-06
    2    2   -0.23320141E-01  0.28849391E-06
    3    2    0.82709332E-03 -0.45564318E-04
    4    2   -0.58391352E-01  0.38715390E-04
    1    3   -0.21279304E-01 -0.26933126E-04
    2    3    0.15875216E-03  0.34494681E-04
    3    3    0.76984409E-01  0.24176389E-07
    4    3   -0.57483209E-04  0.63080491E-04
    1    4    0.88314542E-03  0.47876892E-05
    2    4    0.80019620E-01  0.55538547E-04
    3    4   -0.66033947E-04  0.69668790E-04
    4    4    0.14109755E+00  0.18719563E-06

    0    0    5
    1    1   -0.20395970E-01 -0.28140664E-06
    2    1    0.15886207E-03 -0.60355952E-05
    3    1   -0.21279469E-01  0.27581439E-04
    4    1    0.88692394E-03  0.46268989E-04
    1    2    0.16019093E-03 -0.13928930E-04
    2    2   -0.54247331E-02  0.18618020E-06
    3    2    0.15464675E-03  0.27154177E-04
    4    2    0.80015542E-01 -0.58153371E-04
    1    3    0.39386379E-01  0.47783851E-04
    2    3   -0.39165590E-03 -0.22046933E-05
    3    3   -0.23301076E-01  0.12029571E-06
    4    3    0.92730259E-04 -0.56623820E-05
    1    4    0.47061891E-03 -0.32615448E-04
    2    4    0.41298102E-01  0.30598378E-04
    3    4    0.94174754E-04 -0.14850040E-04
    4    4    0.28087308E-01 -0.27539636E-07

    0    0    6
    1    1   -0.24761418E-01  0.27349387E-06
    2    1    0.30442407E-03  0.18316535E-04
