iaver=       1

 -0.28646E+00 -0.30971E+00 -0.31401E+00 -0.31401E+00 -0.31972E+00 -0.34161E+00 -0.34161E+00
 -0.34173E+00 -0.34282E+00 -0.35576E+00 -0.36135E+00 -0.36135E+00 -0.37089E+00 -0.37321E+00
 -0.37321E+00 -0.37454E+00 -0.37717E+00 -0.37730E+00 -0.38588E+00

     time=      11.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.19103E-01 -0.62071E-01 -0.62220E-01 -0.62220E-01 -0.63591E-01 -0.12194E+00
 -0.12511E+00 -0.12683E+00 -0.12683E+00 -0.17120E+00 -0.18485E+00 -0.18485E+00 -0.18896E+00
 -0.23553E+00 -0.23553E+00 -0.23612E+00 -0.24161E+00 -0.26978E+00 -0.27863E+00 -0.27863E+00
 -0.29046E+00 -0.31089E+00 -0.31401E+00 -0.31401E+00 -0.32128E+00 -0.34051E+00 -0.34161E+00
 -0.34161E+00 -0.34223E+00 -0.35532E+00 -0.36135E+00 -0.36135E+00 -0.37204E+00 -0.37321E+00
 -0.37321E+00 -0.37565E+00 -0.37717E+00 -0.37831E+00 -0.38571E+00

     time=      12.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.18572E-01 -0.56032E-01 -0.62220E-01 -0.62220E-01 -0.69120E-01 -0.12087E+00
 -0.12679E+00 -0.12683E+00 -0.12683E+00 -0.17232E+00 -0.18485E+00 -0.18485E+00 -0.18943E+00
 -0.22914E+00 -0.23553E+00 -0.23553E+00 -0.24351E+00 -0.26696E+00 -0.27863E+00 -0.27863E+00
 -0.29300E+00 -0.31227E+00 -0.31401E+00 -0.31401E+00 -0.32141E+00 -0.33967E+00 -0.34161E+00
 -0.34161E+00 -0.34210E+00 -0.35483E+00 -0.36135E+00 -0.36135E+00 -0.37313E+00 -0.37321E+00
 -0.37321E+00 -0.37680E+00 -0.37717E+00 -0.37926E+00 -0.38551E+00

     time=      13.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.16021E-01 -0.50690E-01 -0.62220E-01 -0.62220E-01 -0.73131E-01 -0.11799E+00
 -0.12683E+00 -0.12683E+00 -0.13154E+00 -0.17588E+00 -0.18485E+00 -0.18485E+00 -0.18798E+00
 -0.22352E+00 -0.23553E+00 -0.23553E+00 -0.24340E+00 -0.26589E+00 -0.27863E+00 -0.27863E+00
 -0.29337E+00 -0.31263E+00 -0.31401E+00 -0.31401E+00 -0.32039E+00 -0.33949E+00 -0.34161E+00
 -0.34161E+00 -0.34223E+00 -0.35442E+00 -0.36135E+00 -0.36135E+00 -0.37321E+00 -0.37321E+00
 -0.37411E+00 -0.37717E+00 -0.37783E+00 -0.38024E+00 -0.38532E+00

     time=      14.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.11566E-01 -0.46941E-01 -0.62220E-01 -0.62220E-01 -0.75149E-01 -0.11596E+00
 -0.12683E+00 -0.12683E+00 -0.13520E+00 -0.18000E+00 -0.18451E+00 -0.18485E+00 -0.18485E+00
 -0.22103E+00 -0.23553E+00 -0.23553E+00 -0.24235E+00 -0.26621E+00 -0.27863E+00 -0.27863E+00
 -0.29205E+00 -0.31207E+00 -0.31401E+00 -0.31401E+00 -0.31906E+00 -0.33982E+00 -0.34161E+00
 -0.34161E+00 -0.34247E+00 -0.35424E+00 -0.36135E+00 -0.36135E+00 -0.37321E+00 -0.37321E+00
 -0.37487E+00 -0.37717E+00 -0.37828E+00 -0.38111E+00 -0.38508E+00

     time=      15.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.55268E-02 -0.61846E-02 -0.44705E-01 -0.62220E-01 -0.62220E-01 -0.75254E-01 -0.11430E+00
 -0.12683E+00 -0.12683E+00 -0.13757E+00 -0.17950E+00 -0.18440E+00 -0.18485E+00 -0.18485E+00
 -0.22233E+00 -0.23553E+00 -0.23553E+00 -0.24176E+00 -0.26762E+00 -0.27863E+00 -0.27863E+00
 -0.28956E+00 -0.31126E+00 -0.31401E+00 -0.31401E+00 -0.31745E+00 -0.33983E+00 -0.34161E+00
 -0.34161E+00 -0.34225E+00 -0.35420E+00 -0.36135E+00 -0.36135E+00 -0.37321E+00 -0.37321E+00
 -0.37472E+00 -0.37717E+00 -0.37794E+00 -0.38143E+00 -0.38479E+00

     time=      16.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.40671E-03 -0.61846E-02 -0.44589E-01 -0.62220E-01 -0.62220E-01 -0.73098E-01 -0.11294E+00
 -0.12683E+00 -0.12683E+00 -0.13685E+00 -0.17460E+00 -0.18485E+00 -0.18485E+00 -0.18876E+00
 -0.22654E+00 -0.23553E+00 -0.23553E+00 -0.24204E+00 -0.26994E+00 -0.27863E+00 -0.27863E+00
 -0.28689E+00 -0.31032E+00 -0.31401E+00 -0.31401E+00 -0.31626E+00 -0.33942E+00 -0.34161E+00
 -0.34161E+00 -0.34172E+00 -0.35414E+00 -0.36135E+00 -0.36135E+00 -0.37321E+00 -0.37321E+00
 -0.37370E+00 -0.37717E+00 -0.37717E+00 -0.38128E+00 -0.38447E+00

     time=      17.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.55981E-02 -0.61846E-02 -0.46052E-01 -0.62220E-01 -0.62220E-01 -0.69376E-01 -0.11192E+00
 -0.12683E+00 -0.12683E+00 -0.13398E+00 -0.17112E+00 -0.18485E+00 -0.18485E+00 -0.19334E+00
 -0.23178E+00 -0.23553E+00 -0.23553E+00 -0.24250E+00 -0.27306E+00 -0.27863E+00 -0.27863E+00
 -0.28371E+00 -0.30942E+00 -0.31401E+00 -0.31401E+00 -0.31560E+00 -0.33876E+00 -0.34095E+00
 -0.34161E+00 -0.34161E+00 -0.35398E+00 -0.36135E+00 -0.36135E+00 -0.37189E+00 -0.37321E+00
 -0.37321E+00 -0.37627E+00 -0.37717E+00 -0.38083E+00 -0.38413E+00

     time=      18.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.10351E-01 -0.61846E-02 -0.49673E-01 -0.62220E-01 -0.62220E-01 -0.63191E-01 -0.11204E+00
