iaver=       1

     time=       1.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.40656E+00  0.41086E+00  0.41162E+00  0.41200E+00  0.43215E+00  0.43241E+00  0.44977E+00
  0.45117E+00  0.46070E+00  0.46199E+00  0.46474E+00  0.47870E+00

     time=      12.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.11309E-01  0.32446E-01  0.77433E-01  0.95310E-01  0.95310E-01  0.96885E-01  0.16796E+00
  0.17822E+00  0.18027E+00  0.18027E+00  0.25259E+00  0.27174E+00  0.27174E+00  0.27250E+00
  0.34164E+00  0.34831E+00  0.34901E+00  0.36005E+00  0.36166E+00  0.36427E+00  0.37204E+00
  0.37893E+00  0.38098E+00  0.38588E+00  0.39085E+00  0.39449E+00  0.39844E+00  0.39906E+00
  0.40661E+00  0.41064E+00  0.41140E+00  0.41173E+00  0.43214E+00  0.43240E+00  0.44854E+00
  0.45151E+00  0.45946E+00  0.46191E+00  0.46480E+00  0.48221E+00

     time=      13.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.12946E-01  0.32446E-01  0.72697E-01  0.95310E-01  0.95310E-01  0.10324E+00  0.16683E+00
  0.18027E+00  0.18027E+00  0.18340E+00  0.25912E+00  0.27039E+00  0.27174E+00  0.27174E+00
  0.34144E+00  0.34843E+00  0.34891E+00  0.35937E+00  0.35965E+00  0.36171E+00  0.37452E+00
  0.37831E+00  0.38137E+00  0.38201E+00  0.39353E+00  0.39452E+00  0.39848E+00  0.39903E+00
  0.40670E+00  0.41005E+00  0.41117E+00  0.41172E+00  0.43214E+00  0.43237E+00  0.44827E+00
  0.45164E+00  0.45896E+00  0.46191E+00  0.46518E+00  0.48420E+00

     time=      14.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.16645E-01  0.32446E-01  0.70691E-01  0.95310E-01  0.95310E-01  0.10778E+00  0.16750E+00
  0.18027E+00  0.18027E+00  0.18736E+00  0.26497E+00  0.26779E+00  0.27174E+00  0.27174E+00
  0.34176E+00  0.34860E+00  0.34886E+00  0.35689E+00  0.35917E+00  0.36174E+00  0.37520E+00
  0.37813E+00  0.38033E+00  0.38233E+00  0.39448E+00  0.39523E+00  0.39855E+00  0.39901E+00
  0.40689E+00  0.40933E+00  0.41111E+00  0.41173E+00  0.43215E+00  0.43235E+00  0.44931E+00
  0.45141E+00  0.45886E+00  0.46191E+00  0.46603E+00  0.48481E+00

     time=      15.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.22829E-01  0.32446E-01  0.71512E-01  0.95310E-01  0.95310E-01  0.11040E+00  0.16888E+00
  0.18027E+00  0.18027E+00  0.18952E+00  0.25877E+00  0.27174E+00  0.27174E+00  0.27658E+00
  0.34265E+00  0.34875E+00  0.34885E+00  0.35670E+00  0.35903E+00  0.36179E+00  0.37464E+00
  0.37903E+00  0.38033E+00  0.38351E+00  0.39454E+00  0.39583E+00  0.39864E+00  0.39897E+00
  0.40719E+00  0.40883E+00  0.41110E+00  0.41174E+00  0.43218E+00  0.43234E+00  0.45073E+00
  0.45200E+00  0.45902E+00  0.46190E+00  0.46722E+00  0.48381E+00

     time=      16.00(fs). Energy of active surface: 0.95310E-01 RYD
