 written on 20Jun2021 at 09:09:34 
           6
          21
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2
    0    0    2    6    4    0.060120    0.000594
    0    0    2    1    5    0.092218   -0.000088
    0    0    2    2    5    0.005935   -0.000094
    0    0    2    3    5    0.542115   -0.006482
    0    0    2    4    5   -0.005983    0.000104
    0    0    2    5    5    0.098688   -0.000000
    0    0    2    6    5   -0.017611   -0.000017
    0    0    2    1    6   -0.000451   -0.000001
    0    0    2    2    6   -0.030279    0.000282
    0    0    2    3    6    0.000053   -0.000001
    0    0    2    4    6    0.060123   -0.000594
    0    0    2    5    6    0.000446    0.000002
    0    0    2    6    6   -0.015394   -0.000000
    0    0    3    1    1    0.023793   -0.000000
    0    0    3    2    1   -0.000056   -0.000005
    0    0    3    3    1   -0.166443    0.001830
    0    0    3    4    1    0.002351   -0.000027
    0    0    3    5    1    0.023679    0.000022
    0    0    3    6    1   -0.000451    0.000001
    0    0    3    1    2   -0.000056    0.000005
    0    0    3    2    2    0.014706    0.000000
    0    0    3    3    2    0.000004    0.000001
    0    0    3    4    2    0.075279   -0.000041
    0    0    3    5    2    0.000056   -0.000004
    0    0    3    6    2   -0.030276   -0.000282
    0    0    3    1    3   -0.119516   -0.001316
    0    0    3    2    3   -0.000006   -0.000002
    0    0    3    3    3   -0.078167   -0.000000
    0    0    3    4    3   -0.000024    0.000000
    0    0    3    5    3   -0.119521   -0.001429
    0    0    3    6    3   -0.000019   -0.000000
    0    0    3    1    4   -0.000893   -0.000017
    0    0    3    2    4   -0.075484   -0.000046
    0    0    3    3    4   -0.000024    0.000001
    0    0    3    4    4    0.036102   -0.000000
    0    0    3    5    4    0.000890    0.000017
    0    0    3    6    4   -0.023790   -0.000236
    0    0    3    1    5    0.023679   -0.000022
    0    0    3    2    5    0.000057    0.000005
    0    0    3    3    5   -0.166431    0.001988
    0    0    3    4    5   -0.002355    0.000030
    0    0    3    5    5    0.023792    0.000000
    0    0    3    6    5    0.000447   -0.000002
    0    0    3    1    6    0.000682    0.000005
    0    0    3    2    6    0.043584   -0.000408
    0    0    3    3    6   -0.000019   -0.000000
    0    0    3    4    6   -0.023790    0.000236
    0    0    3    5    6   -0.000681   -0.000005
    0    0    3    6    6    0.015764    0.000000
    0    0    4    1    1   -0.004363    0.000000
    0    0    4    2    1    0.000823   -0.000016
    0    0    4    3    1   -0.119524    0.001316
    0    0    4    4    1   -0.000893    0.000017
    0    0    4    5    1   -0.004345   -0.000004
    0    0    4    6    1    0.000682   -0.000005
    0    0    4    1    2    0.000823    0.000016
    0    0    4    2    2    0.099278   -0.000000
    0    0    4    3    2   -0.000006    0.000000
    0    0    4    4    2   -0.075484    0.000046
    0    0    4    5    2   -0.000820   -0.000016
    0    0    4    6    2    0.043584    0.000408
    0    0    4    1    3    0.031771    0.000349
    0    0    4    2    3   -0.000001   -0.000000
    0    0    4    3    3    0.129400    0.000000
    0    0    4    4    3   -0.000022    0.000000
    0    0    4    5    3    0.031768    0.000379
    0    0    4    6    3   -0.000023   -0.000000
    0    0    4    1    4    0.000041    0.000000
    0    0    4    2    4   -0.016159   -0.000010
